1;36;4;57672;+370 555 37217
2;33;3;92070;+370 555 61603
3;33;3;108036;+370 555 59431
4;30;3;116835;+370 555 94232
5;44;4;119208;+370 555 96845
6;19;1;47550;+370 555 91041
7;32;4;65796;+370 555 05331
8;33;3;74889;+370 555 27040
9;33;3;124125;+370 555 66897
10;17;1;26442;+370 555 12795
11;24;2;48504;+370 555 98779
12;33;3;117243;+370 555 65939
13;36;4;125028;+370 555 61249
14;24;2;57458;+370 555 32305
15;17;1;50306;+370 555 70725
16;14;1;25109;+370 555 62371
17;27;3;91803;+370 555 17155
18;22;2;49652;+370 555 19137
19;24;2;47892;+370 555 50274
20;40;4;139252;+370 555 96251
21;32;4;100800;+370 555 17528
22;32;4;81836;+370 555 54442
23;15;1;36662;+370 555 80434
24;32;4;68364;+370 555 74118
25;15;1;39162;+370 555 10773
26;14;1;27879;+370 555 00100
27;14;1;31323;+370 555 54584
28;24;2;32400;+370 555 99401
29;32;4;94576;+370 555 71892
30;19;1;46751;+370 555 33797
31;36;4;87632;+370 555 03778
32;16;1;30355;+370 555 84644
33;17;1;27246;+370 555 09161
34;28;2;73826;+370 555 12492
35;36;4;105492;+370 555 42345
36;22;2;75326;+370 555 90810
37;27;3;63231;+370 555 09179
38;14;1;23302;+370 555 94733
39;16;1;42548;+370 555 90216
40;33;3;81498;+370 555 51385
41;22;2;73264;+370 555 80921
42;27;3;77283;+370 555 39491
43;24;2;76890;+370 555 23704
44;15;1;27068;+370 555 77592
45;36;4;92400;+370 555 42007
46;24;2;59112;+370 555 97506
47;44;4;135484;+370 555 18906
48;44;4;95536;+370 555 63347
49;18;1;28668;+370 555 41382
50;33;3;93753;+370 555 68061
51;19;1;54650;+370 555 36248
52;24;2;72050;+370 555 39603
53;32;4;125416;+370 555 33852
54;28;2;51916;+370 555 95943
55;33;3;91593;+370 555 73853
56;36;4;80252;+370 555 10780
57;16;1;28184;+370 555 64728
58;44;4;85032;+370 555 49736
59;28;2;63974;+370 555 10842
60;30;3;65409;+370 555 75048
61;22;2;47180;+370 555 22220
62;36;4;109792;+370 555 79892
63;16;1;24141;+370 555 76036
64;30;3;62940;+370 555 62568
65;40;4;103812;+370 555 42423
66;24;2;74688;+370 555 23712
67;28;2;68828;+370 555 62458
68;28;2;87414;+370 555 42275
69;44;4;124944;+370 555 31593
70;28;2;61914;+370 555 61137
71;16;1;41518;+370 555 06605
72;44;4;103588;+370 555 96408
73;15;1;43521;+370 555 07850
74;40;4;110164;+370 555 20164
75;17;1;42831;+370 555 80993
76;27;3;50124;+370 555 71674
77;27;3;94635;+370 555 40924
78;22;2;52070;+370 555 70723
79;27;3;59451;+370 555 52236
80;27;3;83229;+370 555 82865
81;30;3;54714;+370 555 86232
